ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,index,total_shares,max_portfolio_pct,recent_buys,latest_buy_quarter,price_opportunity_score,price_category,_analysis_type,_generated,_periods,_window_quarters
ABEV,Ambev S.A.,3.14,3,"First Eagle Investment Management, Dodge & Cox Funds, Richard Pzena",1027864000,0.59,0,352008185,1.72,5.0,Q4 2025,11.586666666666666,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
RIG,Transocean Ltd.,4.89,2,"Arnold Van Den Berg, Mohnish Pabrai",135387000,16.0,52,20420415,31.97,3.0,Q4 2025,23.005,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
PTLO,Portillo's Inc Cl A,4.74,2,"Glenn Welling, Bill Miller",18897000,3.09,46,3572313,6.0,3.0,Q3 2025,10.09,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
EMBC,Embecta Corp,3.26,2,"Tweedy Browne, Yacktman Asset Management",33125000,0.24,21,3747233,0.43,6.0,Q4 2025,10.24,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GTN,Gray Television Inc.,3.97,1,Bill Miller,23306000,6.08,30,5370100,6.08,2.0,Q4 2025,10.08,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BRCC,BRC Inc.,1.11,1,Glenn Welling,10817000,3.57,6,13935560,3.57,1.0,Q3 2025,6.57,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CNDT,Conduent Inc.,1.46,1,Bill Miller,12831000,3.35,15,10023930,3.35,3.0,Q4 2025,8.35,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
JELD,JELD-WEN Holding Inc.,1.5,1,Bill Miller,8209000,2.14,35,6619885,2.14,3.0,Q4 2025,7.140000000000001,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MINE,Mayfair Gold Corp,2.46,1,Howard Marks,13866000,0.32,37,4500000,0.32,1.0,Q1 2026,3.32,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
IVVD,Invivyd Inc.,0.87,1,Lee Ainslie,24662000,0.29,34,18970913,0.29,1.0,Q3 2025,3.29,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BATL,Battalion Oil Corp.,1.31,1,Howard Marks,11739000,0.27,5,3009912,0.27,1.0,Q3 2025,3.27,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
VSTM,Verastem Inc.,3.82,1,Torray Funds,1584000,0.25,60,298958,0.25,2.0,Q4 2025,4.25,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BTE,Baytex Energy Corp.,4.0,1,Arnold Van Den Berg,742000,0.17,8,166027,0.17,2.0,Q4 2025,4.17,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
RCKT,Rocket Pharmaceuticals Inc.,3.42,1,Lee Ainslie,12771000,0.15,47,3567372,0.15,2.0,Q3 2025,4.15,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FINV,Finvolution Group ADR,4.79,1,Sarah Ketterer,11501000,0.14,23,2401084,0.14,1.0,Q3 2025,3.14,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
COTY,Coty Inc.,2.16,1,Lee Ainslie,2536000,0.03,16,1261833,0.03,1.0,Q1 2026,3.03,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CRMT,America's Car Mart Inc.,2.79,1,Yacktman Asset Management,2482000,0.03,18,195000,0.03,3.0,Q4 2025,5.029999999999999,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
PSEC,Prospect Capital Corp.,2.31,1,Tweedy Browne,422000,0.03,45,162953,0.03,2.0,Q4 2025,4.029999999999999,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CLVT,Clarivate Plc,2.16,1,Mason Hawkins,308000,0.02,14,121927,0.02,1.0,Q3 2025,3.02,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FIP,Ftai Infrastructure Inc,4.64,1,First Eagle Investment Management,12476000,0.02,24,2525562,0.02,3.0,Q4 2025,5.02,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
PEPG,Pepgen Inc,1.8,1,Viking Global Investors,6164000,0.02,42,3482434,0.02,1.0,Q3 2025,3.02,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
REI,Ring Energy Inc.,1.08,1,Arnold Van Den Berg,81000,0.02,49,53191,0.02,2.0,Q4 2025,4.02,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SSPPF,Ssp Group Plc,2.16,1,Thomas Russo,1614000,0.02,59,700000,0.02,2.0,Q3 2025,4.02,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ECTXF,Electrolux Professional Ab B,4.65,1,Thomas Russo,1217000,0.01,20,230000,0.01,2.0,Q3 2025,4.01,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CCO,Clear Channel Outdoor Holdings,2.42,1,Polen Capital Management,414000,0.0,11,174708,0.0,2.0,Q4 2025,4.0,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GEMI,Gemini Space Station Inc A,4.26,1,Chase Coleman,309000,0.0,28,70000,0.0,1.0,Q3 2025,3.0,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
NAK,Northern Dynasty Minerals Ltd,1.92,1,Arnold Van Den Berg,14000,0.0,40,10000,0.0,1.0,Q1 2026,3.0,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SCWO,374water Inc,1.9,1,David Katz,28000,0.0,55,10000,0.0,1.0,Q4 2025,3.0,Ultra-Low Price,stocks_under_$5,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
