ticker,current_price,managers_shown,total_value,portfolio_pct,buy_count,buying_managers,shares_bought,periods,activities,52_week_low,52_week_high,52_week_position_pct,near_52w_low,value_opportunity_score,opportunity_type,_analysis_type,_generated,_periods,_window_quarters
CTSH,38.73,5,2402103000,1.65,5,"Sarah Ketterer, Yacktman Asset Management, Richard Pzena",3289570,"Q4 2025, Q3 2025, Q1 2026",Add 14.97%; Add 14.29%; Add 0.83%; Add 14.94%; Add 1.49%,37.08,85.98,3.3742331288343523,True,2421.7655766871167,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FIS,38.88,5,2349002000,1.65,8,"Mason Hawkins, Seth Klarman, Dodge & Cox Funds, Harry Burn, Robert Olstein",15146265,"Q1 2026, Q4 2025, Q3 2025",Add 33.01%; Add 18.84%; Add 13.94%; Add 22.20%; Add 27.68%,37.42,80.15,3.416803182775569,True,2374.6603196817223,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ORCL,146.55,5,2326567000,0.95,10,"Hillman Capital Management, First Eagle Investment Management, Mairs & Power Funds, Thomas Russo, William Von Mueffling, +1 more",619872,"Q1 2026, Q4 2025, Q3 2025",Buy; Add 1.75%; Add 7.34%; Add 62.49%; Add 23.38%,134.57,343.01,5.747457301861456,True,2355.9922542698137,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ROP,338.39,5,2240102000,2.91,4,"Bill Nygren, Chuck Akre, Wallace Weitz, Dodge & Cox Funds",5230444,"Q1 2026, Q4 2025",Buy; Add 13.76%; Add 16.31%,305.96,571.35,12.21975206300162,True,2256.8800247937,Value Buying,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
LPLA,281.68,5,2226749000,1.81,9,"Stephen Mandel, First Eagle Investment Management, Dodge & Cox Funds, John Armitage, William Von Mueffling, +1 more",2467542,"Q3 2025, Q4 2025, Q1 2026",Add 20.48%; Buy; Add 5.00%; Add 18.61%; Add 23.23%,260.15,402.1,15.167312433955637,True,2253.2322687566043,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SBAC,176.46,5,2079138000,1.14,4,"Dodge & Cox Funds, Torray Funds",3472149,"Q1 2026, Q4 2025, Q3 2025",Add 0.70%; Add 24.09%; Add 12.30%; Add 4.96%,161.43,237.56,19.742545645606203,True,2095.1637454354395,Value Buying,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
LEN,90.49,5,2019883000,6.31,6,"Glenn Greenberg, Warren Buffett, Greenhaven Associates",4595103,"Q4 2025, Q1 2026, Q3 2025",Add 20.24%; Add 43.24%; Add 0.03%; Add 5.33%; Add 4.57%,81.18,142.23,15.249795249795234,True,2040.3580204750208,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
EFX,158.72,5,1950137000,1.54,16,"Lee Ainslie, Bill Nygren, Valley Forge Capital Management, AKO Capital, Hillman Capital Management, +4 more",2611853,"Q4 2025, Q3 2025, Q1 2026",Buy; Add 29.54%; Add 14.21%; Add 1.63%; Add 2.91%,150.75,273.02,6.518361004334669,True,1991.4851638995665,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MDT,78.23,5,1961457000,1.13,7,"First Eagle Investment Management, Dodge & Cox Funds, Harry Burn, David Katz, Robert Olstein",1158451,"Q1 2026, Q4 2025, Q3 2025",Add 2.76%; Add 0.41%; Add 0.17%; Buy; Add 1.67%,72.65,103.76,17.936354869816775,True,1983.6633645130185,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
TMUS,167.73,5,1916766000,0.82,5,"Lee Ainslie, Viking Global Investors, Dodge & Cox Funds, Richard Pzena",3354479,"Q1 2026, Q4 2025, Q3 2025",Buy; Add 15.07%; Add 14.66%; Add 65.24%,165.66,256.72,2.273226444102781,True,1936.5386773555897,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BABA,95.98,5,1860540000,3.23,7,"Bill Nygren, Daniel Loeb, Dennis Hong, Dodge & Cox Funds, Polen Capital Management, +1 more",1231389,"Q1 2026, Q4 2025, Q3 2025",Add 40.17%; Add 344.97%; Buy; Add 0.10%; Add 11.79%,91.99,190.92,4.033154755888011,True,1884.136684524411,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SE,95.83,5,1851780000,1.66,6,"Howard Marks, Viking Global Investors, Stephen Mandel, First Eagle Investment Management, Christopher Davis",5038677,"Q3 2025, Q1 2026, Q4 2025",Add 69.28%; Add 29.02%; Add 20.81%; Buy; Add 323.75%,77.05,199.3,15.361963190184047,True,1872.2438036809813,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
NFLX,71.4,5,1759515000,2.07,11,"Lee Ainslie, Viking Global Investors, Bill Nygren, Christopher Bloomstran, Chase Coleman, +3 more",18216732,"Q4 2025, Q3 2025, Q1 2026",Buy; Add 30200.47%; Add 0.56%; Add 0.53%; Add 20.80%,70.86,133.88,0.8568708346556748,True,1791.4293129165346,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ACN,124.44,5,1604849000,1.07,13,"Bill Nygren, Ruane Cunniff LP, First Eagle Investment Management, Wallace Weitz, Mairs & Power Funds, +2 more",6406997,"Q1 2026, Q4 2025, Q3 2025",Buy; Add 3426.53%; Add 6.09%; Add 0.22%; Add 28.80%,118.15,299.95,3.459845984598456,True,1640.50301540154,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ADBE,205.02,5,1518878000,0.81,20,"Lee Ainslie, Bill Nygren, Hillman Capital Management, Dodge & Cox Funds, Samantha McLemore, +5 more",5454801,"Q4 2025, Q1 2026, Q3 2025",Buy; Add 122.86%; Add 1.38%; Add 15.30%; Add 35.83%,190.12,392.58,7.359478415489483,True,1568.142052158451,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CBRE,134.69,5,1539194000,1.27,9,"Viking Global Investors, Bill Nygren, John Rogers, William Von Mueffling, Christopher Davis, +2 more",1375536,"Q3 2025, Q4 2025, Q1 2026",Buy; Add 0.56%; Add 24.67%; Add 0.76%; Add 1.97%,121.69,174.27,24.724229745150243,True,1564.721577025485,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SNY,42.66,5,1473741000,0.47,7,"Lee Ainslie, Sarah Ketterer, Richard Pzena",262966,"Q1 2026, Q4 2025, Q3 2025",Buy; Add 0.05%; Add 8.64%; Add 16.64%; Add 62.46%,40.89,49.91,19.62305986696227,True,1495.7786940133035,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MCD,270.31,5,1415720000,0.7,12,"Lee Ainslie, Viking Global Investors, Polen Capital Management, First Pacific Advisors, Thomas Russo, +2 more",799719,"Q1 2026, Q4 2025, Q3 2025",Add 2261.68%; Buy; Add 0.16%; Add 7.24%; Add 7.98%,264.53,337.56,7.914555662056726,True,1448.9285444337945,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
TRU,72.14,5,1398658000,4.13,8,"Triple Frond Partners, Dodge & Cox Funds, John Armitage, Vulcan Value Partners",21679794,"Q1 2026, Q4 2025, Q3 2025",Add 48.38%; Add 28.04%; Buy; Add 64.49%; Add 201.85%,63.37,98.77,24.77401129943504,True,1422.1805988700564,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MRSH,166.67,5,1312626000,1.43,11,"Bill Nygren, AKO Capital, First Pacific Advisors, Jensen Investment Management, Thomas Gayner, +2 more",5424048,"Q1 2026, Q3 2025, Q4 2025",Buy; Add 0.98%; Add 6.17%; Add 0.23%; Add 0.89%,156.6,215.58,17.073584265852816,True,1342.9186415734148,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ZTS,71.86,5,1293489000,2.98,7,"David Rolfe, Terry Smith, Ruane Cunniff LP, Mairs & Power Funds",3755627,"Q1 2026, Q3 2025, Q4 2025",Add 8.44%; Add 3.39%; Add 7.90%; Add 25.32%; Buy,71.47,159.3,0.4440396219970403,True,1317.4445960378002,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SPOT,459.13,5,1251690000,1.23,10,"Lee Ainslie, ValueAct Capital, Daniel Loeb, Stephen Mandel, Chase Coleman, +3 more",1384282,"Q1 2026, Q4 2025",Buy; Add 287.59%; Add 25.31%; Add 49.92%; Add 547.02%,405.0,769.71,14.841929204025114,True,1280.2058070795974,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
IDXX,526.44,5,1237860000,1.76,2,Bill Nygren,482,"Q1 2026, Q3 2025",Add 5.93%; Buy,506.91,769.98,7.42387957577832,True,1251.117612042422,Deep Value,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BLK,961.56,5,1226369000,2.36,8,"Viking Global Investors, ValueAct Capital, Bill Nygren, Hillman Capital Management, Ruane Cunniff LP, +3 more",1123971,"Q3 2025, Q4 2025, Q1 2026",Add 217.52%; Buy; Add 0.27%; Add 4.20%; Add 8.55%,912.25,1200.54,17.104304693190866,True,1250.6585695306808,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
KKR,91.78,5,1150525000,2.87,5,"Viking Global Investors, ValueAct Capital, Stephen Mandel, John Rogers",7093184,"Q3 2025, Q1 2026, Q4 2025",Buy; Add 22.56%; Add 65.87%; Add 3.70%,82.51,152.85,13.178845607051462,True,1169.207115439295,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
