ticker,company_name,managers_shown,total_value,avg_portfolio_pct,active_managers,periods,buy_count,sell_count,current_holders,contrarian_score,contrarian_signal,buying_managers,selling_managers,add_count,reduce_count,_analysis_type,_generated,_periods,_window_quarters
JPM,JPMorgan Chase & Co.,5,1684962000.0,1.07,13.0,"Q1 2026, Q4 2025, Q3 2025",5.0,20.0,15.0,32.5,Net Selling,"Richard Pzena, Bill Nygren, Viking Global Investors, Francois Rochon, Kahn Brothers Group","Richard Pzena, David Katz, Greenhaven Associates, Bill Nygren, Viking Global Investors, +8 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
WFC,Wells Fargo,5,6142291000.0,1.64,12.0,"Q1 2026, Q4 2025, Q3 2025",2.0,25.0,15.0,32.4,Net Selling,"Bill Nygren, Christopher Davis","Richard Pzena, David Katz, Robert Olstein, First Pacific Advisors, Bill Nygren, +7 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TMO,Thermo Fisher Scientific,5,1570933000.0,1.73,14.0,"Q1 2026, Q4 2025, Q3 2025",11.0,12.0,13.0,32.2,Net Selling,"David Katz, Robert Olstein, First Pacific Advisors, Bill Nygren, Viking Global Investors, +3 more","Lindsell Train, David Katz, Robert Olstein, Mairs & Power Funds, AKO Capital, +4 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ORCL,Oracle Corp.,5,3398661000.0,1.16,14.0,"Q3 2025, Q1 2026, Q4 2025",5.0,18.0,12.0,32.2,Net Selling,"Hillman Value Fund, Mairs & Power Funds, William Von Mueffling, Christopher Davis","Lindsell Train, Bill Nygren, David Tepper, Ariel Investments, Sarah Ketterer, +7 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CMCSA,Comcast Corp.,5,5694761000.0,1.17,13.0,"Q1 2026, Q4 2025, Q3 2025",11.0,11.0,13.0,28.6,Mixed Signal,"David Katz, First Pacific Advisors, Bill Nygren, Mairs & Power Funds, Dodge & Cox Funds, +2 more","David Katz, Robert Olstein, Hillman Value Fund, First Pacific Advisors, Mairs & Power Funds, +4 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
SCHW,Charles Schwab Corp.,5,12697905000.0,2.78,12.0,"Q4 2025, Q3 2025",9.0,14.0,12.0,27.6,Net Selling,"Bill Nygren, Viking Global Investors, Lee Ainslie, Francois Rochon, Thomas Gayner, +1 more","Greenhaven Associates, Bill Nygren, Viking Global Investors, Mairs & Power Funds, Dodge & Cox Funds, +3 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
PEP,PepsiCo Inc.,5,580326000.0,1.39,12.0,"Q1 2026, Q4 2025, Q3 2025",6.0,17.0,13.0,27.6,Net Selling,"David Katz, Lee Ainslie, Polen Capital Management, Torray Funds","Lindsell Train, David Katz, Robert Olstein, Bill Nygren, Mairs & Power Funds, +6 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ADBE,Adobe Inc.,5,1666097000.0,0.82,12.0,"Q1 2026, Q4 2025, Q3 2025",14.0,9.0,11.0,27.6,Net Buying,"Lindsell Train, Richard Pzena, Robert Olstein, Lee Ainslie, Dodge & Cox Funds, +1 more","Hillman Value Fund, Mairs & Power Funds, Polen Capital Management, Jensen Investment Management, Thomas Gayner, +1 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
XOM,Exxon Mobil Corp.,5,1086273000.0,0.41,12.0,"Q1 2026, Q4 2025, Q3 2025",10.0,13.0,9.0,27.6,Net Selling,"Richard Pzena, Christopher Bloomstran, Mairs & Power Funds, Thomas Russo, Kahn Brothers Group, +2 more","Richard Pzena, David Katz, Bill Nygren, Christopher Bloomstran, Dodge & Cox Funds, +4 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AVGO,Broadcom Inc.,5,4542521000.0,2.32,12.0,"Q4 2025, Q3 2025",8.0,13.0,12.0,25.2,Net Selling,"David Katz, Stephen Mandel, Mairs & Power Funds, Chase Coleman, Sarah Ketterer, +2 more","David Katz, First Pacific Advisors, Bill Nygren, Mairs & Power Funds, Chase Coleman, +4 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TXN,Texas Instruments,5,1843851000.0,1.48,11.0,"Q1 2026, Q4 2025, Q3 2025",10.0,12.0,11.0,24.2,Net Selling,"David Katz, Robert Olstein, Mairs & Power Funds, Terry Smith, Wallace Weitz, +3 more","Robert Olstein, Bill Nygren, Glenn Greenberg, Mairs & Power Funds, Terry Smith, +4 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
UNP,Union Pacific,5,2050217000.0,1.8,11.0,"Q3 2025, Q4 2025",12.0,9.0,10.0,23.1,Net Buying,"Bill Nygren, Daniel Loeb, Lee Ainslie, Seth Klarman, Thomas Russo, +1 more","David Katz, Mairs & Power Funds, Dodge & Cox Funds, Tweedy Browne, Torray Funds",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
