ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,index,total_shares,max_portfolio_pct,recent_buys,latest_buy_quarter,price_opportunity_score,price_category,_analysis_type,_generated,_periods,_window_quarters
PYPL,PayPal Holdings Inc.,43.18,7,"Norbert Lou, Mason Hawkins, Francis Chou, First Pacific Advisors, Yacktman Asset Management, +2 more",404703000,3.37,829,8947673,10.51,6.0,Q4 2025,23.374285714285715,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SLB,Schlumberger Ltd.,46.49,7,"Arnold Van Den Berg, John Rogers, First Eagle Investment Management, Muhlenkamp, Torray Funds, +2 more",1794223000,2.16,914,34913849,4.36,10.0,Q4 2025,26.15714285714286,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
USB,U.S. Bancorp,60.4,7,"Hillman Capital Management, First Eagle Investment Management, Mairs & Power Funds, Christopher Davis, Tweedy Browne, +2 more",1711832000,1.96,1030,32913508,5.31,6.0,Q4 2025,21.96,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
AVTR,Avantor Inc.,9.9,7,"Lee Ainslie, Mason Hawkins, Dodge & Cox Funds, First Pacific Advisors, Yacktman Asset Management, +2 more",1253673000,1.18,88,159907216,2.92,13.0,Q4 2025,28.184285714285718,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ABM,ABM Industries,44.24,7,"Lee Ainslie, Bill Nygren, Alex Roepers, First Eagle Investment Management, Vulcan Value Partners, +2 more",222787000,1.1,4,5783710,4.94,11.0,Q4 2025,26.10428571428572,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
DEO,Diageo ADR,80.38,7,"Bill Nygren, Hillman Capital Management, First Eagle Investment Management, Sarah Ketterer, Dodge & Cox Funds, +2 more",176134000,0.52,291,2365806,1.42,12.0,Q4 2025,26.52285714285714,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
HDB,HDFC Bank Ltd.,25.83,7,"Howard Marks, Mason Hawkins, John Rogers, Sarah Ketterer, Dodge & Cox Funds, +2 more",193309000,0.06,466,7769693,0.12,9.0,Q4 2025,23.057142857142857,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CP,Canadian Pacific Kansas City,86.65,6,"Chris Hohn, AKO Capital, Sarah Ketterer, William Von Mueffling, Thomas Gayner, +1 more",4914413000,3.87,246,62496034,8.49,12.0,Q4 2025,27.86833333333333,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CSGP,CoStar Group Inc.,28.32,6,"Chase Coleman, Hillman Capital Management, Chuck Akre, Dennis Hong, Wallace Weitz, +1 more",1019929000,2.9,262,25283304,6.83,8.0,Q4 2025,22.901666666666667,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
IFF,International Flavors & Fragrances Inc.,79.22,6,"Carl Icahn, Hillman Capital Management, First Eagle Investment Management, Dodge & Cox Funds, First Pacific Advisors, +1 more",4038445000,2.9,513,55664310,5.61,12.0,Q4 2025,26.9,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
KKR,KKR & Co. L.P.,91.78,6,"ValueAct Capital, Bill Nygren, Stephen Mandel, John Rogers, Chuck Akre, +1 more",1150525000,2.87,563,12438106,10.16,5.0,Q4 2025,19.87,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
EPD,Enterprise Products Partners LP,36.76,6,"Bruce Berkowitz, Leon Cooperman, First Eagle Investment Management, Tweedy Browne, Muhlenkamp, +1 more",342432000,2.65,335,9049440,13.63,6.0,Q4 2025,20.65333333333333,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
TSN,Tyson Foods,57.25,6,"Christopher Davis, Tweedy Browne, Thomas Gayner, Yacktman Asset Management, Richard Pzena, +1 more",2181718000,2.06,1008,34052063,3.85,17.0,Q4 2025,31.063333333333333,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
NOW,ServiceNow Inc.,99.28,6,"Chase Coleman, Hillman Capital Management, Chuck Akre, Polen Capital Management, Vulcan Value Partners, +1 more",1093342000,1.74,712,10457600,5.26,8.0,Q4 2025,21.741666666666667,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CPRT,Copart Inc.,28.19,6,"David Rolfe, Francois Rochon, AKO Capital, Chuck Akre, Jensen Investment Management, +1 more",347833000,1.47,251,10476897,4.34,10.0,Q4 2025,23.47,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GSK,GSK plc,52.42,6,"Hillman Capital Management, Sarah Ketterer, Dodge & Cox Funds, Kahn Brothers Group, Tweedy Browne, +1 more",3258038000,1.24,452,59033106,3.73,4.0,Q4 2025,17.243333333333332,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GEHC,GE HealthCare Technologies Inc.,64.01,6,"Nelson Peltz, Bill Nygren, Christopher Bloomstran, Leon Cooperman, Dodge & Cox Funds, +1 more",3472048000,1.2,425,48778418,2.85,13.0,Q4 2025,26.195,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
VZ,Verizon Communications,42.34,6,"Bill Miller, Hillman Capital Management, Mairs & Power Funds, Kahn Brothers Group, Tweedy Browne, +1 more",180624000,1.06,1077,3598088,2.27,2.0,Q4 2025,15.055,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ABT,Abbott Labs,90.74,6,"Lee Ainslie, Dodge & Cox Funds, Polen Capital Management, Mairs & Power Funds, Thomas Russo, +1 more",411695000,0.98,6,4009889,3.01,3.0,Q3 2025,15.981666666666667,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MICC,Magnum Ice Cream Co NV,17.41,6,"Nelson Peltz, Mason Hawkins, First Eagle Investment Management, First Pacific Advisors, Tweedy Browne, +1 more",484867000,0.44,656,33873350,1.19,9.0,Q4 2025,21.438333333333333,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CL,Colgate-Palmolive,91.68,6,"First Eagle Investment Management, Dodge & Cox Funds, Jensen Investment Management, Yacktman Asset Management, Lindsell Train, +1 more",771434000,0.39,212,9051205,1.17,6.0,Q4 2025,18.386666666666667,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
IBKR,Interactive Brokers Group Inc.,87.04,5,"Viking Global Investors, Bryan Lawrence, John Armitage, Robert Vinall, William Von Mueffling",1388898000,10.76,505,20704048,30.5,4.0,Q4 2025,24.76,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
OXY,Occidental Petroleum,48.57,5,"Duan Yongping, Li Lu, Warren Buffett, Dodge & Cox Funds, Francis Chou",22819421000,5.06,760,351068003,9.79,2.0,Q4 2025,17.06,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CNH,CNH Industrial NV,11.23,5,"David Einhorn, Bill Nygren, Mason Hawkins, First Pacific Advisors, Tweedy Browne",1000919000,4.53,225,90992480,17.61,3.0,Q4 2025,17.534,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ZTS,Zoetis Inc.,71.86,5,"David Rolfe, Terry Smith, Ruane Cunniff LP, Polen Capital Management, Mairs & Power Funds",1293489000,2.98,1130,10942302,4.76,7.0,Q4 2025,19.984,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
TECH,Bio-Techne Corp.,70.65,5,"Lee Ainslie, Henry Ellenbogen, Ruane Cunniff LP, Wallace Weitz, Mairs & Power Funds",835701000,2.41,973,15991221,2.94,10.0,Q4 2025,22.414,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MDLN,Medline Inc Cl A,39.44,5,"Lee Ainslie, Viking Global Investors, Henry Ellenbogen, Stephen Mandel, John Armitage",1586463000,2.3,646,35650880,4.18,8.0,Q4 2025,20.3,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
