ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,index,manager_count,total_shares,max_portfolio_pct,buy_count,last_buy_period,price_opportunity_score,price_category
ET,Energy Transfer LP,16.71,"Bruce Berkowitz
Leon Cooperman
David Tepper
David Abrams
Samantha McLemore",503006000,2.7,102,5,29312750,7.02,4.0,Q3 2025,16.698,Affordable
BAX,Baxter International Inc.,18.74,"Greenhaven Associates
Richard Pzena
Robert Olstein
Dodge & Cox
Hillman Value Fund",1061563000,2.4,32,5,46621077,4.69,7.0,Q3 2025,19.4,Affordable
NU,Nu Holdings Ltd,17.39,"Lee Ainslie
Stephen Mandel
Chase Coleman
Howard Marks
Polen Capital Management",1016469000,1.92,209,5,63489706,4.5,7.0,Q3 2025,18.924,Affordable
GPK,Graphic Packaging Hldg Co.,16.18,"David Einhorn
Alex Roepers
Sarah Ketterer
FPA Queens Road Small Cap Value Fund",160986000,3.03,124,4,8226109,7.26,5.0,Q3 2025,16.0275,Affordable
AVTR,Avantor Inc.,11.73,"Mason Hawkins
Greenhaven Associates
Robert Olstein
Dodge & Cox",1218259000,2.72,29,4,97616939,4.73,6.0,Q3 2025,16.7175,Affordable
NOV,Nov Inc.,15.36,"First Eagle Investment Management
Greenhaven Associates
Richard Pzena
Robert Olstein",587079000,1.06,206,4,44307753,2.02,6.0,Q3 2025,15.055,Affordable
ADT,ADT Inc.,8.25,"John Rogers
Lee Ainslie
Sarah Ketterer
Polen Capital Management",18119000,0.46,10,4,2080162,1.85,4.0,Q3 2025,12.465,Affordable
WRBY,Warby Parker Inc.,19.81,"Lee Ainslie
First Eagle Investment Management
Thomas Russo
Polen Capital Management",22920000,0.03,333,4,831078,0.06,6.0,Q3 2025,14.03,Affordable
VFC,V.F. Corp.,17.5,"Meridian Contrarian Fund
Glenn Welling
Dodge & Cox",485723000,7.4,323,3,33660643,20.75,3.0,Q3 2025,16.4,Affordable
BBWI,Bath & Body Works Inc.,17.41,"Tom Bancroft
Lee Ainslie
Alex Roepers",44256000,6.8,36,3,1718001,18.12,3.0,Q3 2025,15.803333333333336,Affordable
PCG,PG&E Corp.,16.12,"Daniel Loeb
David Einhorn
Steven Romick",862599000,4.35,231,3,57201563,9.1,4.0,Q3 2025,14.353333333333332,Affordable
RKT,Rocket Companies Inc.,19.98,"Daniel Loeb
ValueAct Capital
Christopher Davis",630428000,3.18,264,3,32529861,8.3,7.0,Q3 2025,16.183333333333334,Affordable
NCLH,Norwegian Cruise Line Hlgs Ltd.,18.46,"John Rogers
Lee Ainslie
Samantha McLemore",145145000,2.65,198,3,5893000,4.5,7.0,Q3 2025,15.65,Affordable
CNH,CNH Industrial NV,9.43,"Mason Hawkins
David Einhorn
Tweedy Browne Co.",107020000,2.64,70,3,9863554,3.74,0.0,,8.643333333333333,Affordable
STLA,Stellantis N.V.,10.66,"Francis Chou
Bill Miller
Greenhaven Associates",17001000,2.54,297,3,1820194,6.27,4.0,Q3 2025,12.54,Affordable
KVUE,Kenvue Inc,17.35,"Lee Ainslie
Daniel Loeb
Yacktman Asset Management",470389000,2.05,170,3,28982670,2.62,5.0,Q3 2025,13.053333333333333,Affordable
LBTYA,Liberty Global Ltd CL A,11.41,"David Einhorn
Howard Marks
Seth Klarman",216004000,1.88,173,3,18848455,2.35,3.0,Q3 2025,10.88,Affordable
CCC,CCC Intelligent Solutions Hldgs Inc.,7.45,"Triple Frond Partners
Chuck Akre
Torray Funds",183134000,1.78,58,3,20102478,3.64,10.0,Q3 2025,17.776666666666667,Affordable
PENN,Penn National Gaming Inc.,14.84,"Lee Ainslie
David Einhorn
Prem Watsa",133973000,1.74,233,3,6956050,5.13,4.0,Q3 2025,11.736666666666666,Affordable
MANU,Manchester United plc,15.9,"John Rogers
Leon Cooperman
Lindsell Train",122905000,1.5,183,3,8117905,1.63,2.0,Q3 2025,9.496666666666666,Affordable
PRGO,Perrigo Co.,13.35,"Meridian Contrarian Fund
Lee Ainslie
Harry Burn",88865000,1.32,243,3,3990326,2.69,7.0,Q3 2025,14.316666666666666,Affordable
PRMB,Primo Brands Corp,15.69,"Lee Ainslie
Viking Global Investors
Daniel Loeb",674025000,1.12,244,3,30498851,1.54,7.0,Q3 2025,14.12,Affordable
TME,Tencent Music Entertainment Grp,18.45,"Sarah Ketterer
Polen Capital Management
William Von Mueffling",497174000,1.04,310,3,21301367,2.37,4.0,Q3 2025,11.04,Affordable
VSH,Vishay Intertechnology,13.67,"First Eagle Investment Management
Robert Olstein
FPA Queens Road Small Cap Value Fund",41083000,0.99,327,3,2685120,2.65,5.0,Q3 2025,11.99,Affordable
BLCO,Bausch + Lomb Corp,16.19,"Lee Ainslie
Carl Icahn
Howard Marks",104333000,0.55,40,3,6923205,1.03,3.0,Q3 2025,9.55,Affordable
DEI,Douglas Emmett Inc.,12.19,"First Eagle Investment Management
Christopher Davis
Steven Romick",271600000,0.47,86,3,17443792,1.02,3.0,Q3 2025,9.473333333333333,Affordable
PTON,Peloton Interactive Inc.,6.79,"David Einhorn
Polen Capital Management
Samantha McLemore",27940000,0.34,248,3,3104520,0.91,3.0,Q3 2025,9.336666666666666,Affordable
ORLA,Orla Mining Ltd,14.1,"Prem Watsa
First Eagle Investment Management",682935000,14.85,223,2,63536865,29.57,0.0,,18.85,Affordable
EVH,Evolent Health Inc.,4.2,"Lee Ainslie
Glenn Welling",68181000,6.01,104,2,8059196,11.75,3.0,Q3 2025,13.01,Affordable
