ticker,company_name,top_managers,managers_shown,manager_count,trend,momentum,buys,adds,reduces,sells,recent_activity,_analysis_type,_generated,_periods,_window_quarters
SDRL,Seadrill Ltd,"David Einhorn, Samantha McLemore, First Eagle Investment Management",3,5,Accumulating,46.2,4,15,3,4,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
APD,Air Products & Chemicals,"Bill Ackman, Jensen Investment Management, Thomas Gayner",3,8,Accumulating,40.5,8,18,7,4,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
ODFL,Old Dominion Freight Line,"David Rolfe, Thomas Gayner, Henry Ellenbogen",3,6,Accumulating,27.3,6,29,18,2,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BIIB,Biogen Inc.,"Hillman Value Fund, Samantha McLemore, Sarah Ketterer",3,7,Accumulating,24.3,6,17,9,5,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
OXY,Occidental Petroleum,"Warren Buffett, Duan Yongping, Dodge & Cox",3,12,Accumulating,23.9,15,29,19,8,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
VEEV,Veeva Systems Inc.,"Torray Funds, Henry Ellenbogen, Jensen Investment Management",3,5,Accumulating,22.6,5,14,10,2,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MTB,M&T Bank Corp.,"Francois Rochon, David Katz, Christopher Davis",3,6,Accumulating,21.6,4,27,16,4,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
REGN,Regeneron Pharmaceuticals,"Bill Nygren, Dodge & Cox, Thomas Gayner",3,8,Slight Accumulate,19.0,9,16,11,6,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AVTR,Avantor Inc.,"Robert Olstein, Harry Burn, Dodge & Cox",3,10,Slight Accumulate,17.4,10,17,12,7,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
CVX,Chevron Corp.,"Warren Buffett, Thomas Russo, Kahn Brothers Group",3,9,Slight Accumulate,16.2,9,34,26,5,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
CRS,Carpenter Technology,"Daniel Loeb, John Armitage, Polen Capital Management",3,5,Slight Accumulate,14.3,4,4,5,1,12,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
