period,sector,net_flow,buy_actions,sell_actions
Q3 2017,Financials,-4,2,0
Q3 2017,Healthcare,0,1,0
Q3 2017,Other,-1,50,0
Q3 2017,Technology,-2,3,0
Q2 2017,Energy,-1,0,0
Q2 2017,Financials,-5,0,0
Q2 2017,Healthcare,3,2,0
Q2 2017,Other,32,40,0
Q2 2017,Technology,-7,2,0
Q1 2017,Energy,2,0,0
Q1 2017,Financials,-5,0,0
Q1 2017,Healthcare,1,1,0
Q1 2017,Other,47,42,0
Q1 2017,Technology,1,1,0
Q4 2016,Energy,0,0,0
Q4 2016,Financials,-13,1,0
Q4 2016,Healthcare,2,3,0
Q4 2016,Other,-13,43,0
Q4 2016,Technology,3,2,0
Q3 2016,Energy,-1,0,0
Q3 2016,Financials,-7,1,0
Q3 2016,Healthcare,-1,0,0
Q3 2016,Other,-25,35,0
Q3 2016,Technology,-4,1,0
Q2 2016,Energy,-2,0,0
Q2 2016,Financials,-5,3,0
Q2 2016,Healthcare,-2,0,0
Q2 2016,Other,-1,50,0
Q2 2016,Technology,-1,0,0
Q1 2016,Energy,-1,0,0
Q1 2016,Financials,5,0,0
Q1 2016,Healthcare,-1,1,0
Q1 2016,Other,16,39,0
Q1 2016,Technology,-3,1,0
Q4 2015,Energy,-1,0,0
Q4 2015,Financials,-1,0,0
Q4 2015,Healthcare,-2,0,0
Q4 2015,Other,22,26,0
Q4 2015,Technology,-9,0,0
Q3 2015,Energy,1,1,0
Q3 2015,Financials,-6,1,0
Q3 2015,Healthcare,-2,0,0
Q3 2015,Other,60,60,0
Q3 2015,Technology,-5,2,0
Q2 2015,Energy,0,0,0
Q2 2015,Financials,-2,1,0
Q2 2015,Healthcare,-1,0,0
Q2 2015,Other,12,31,0
Q2 2015,Technology,-1,0,0
Q1 2015,Energy,1,0,0
Q1 2015,Financials,1,1,0
Q1 2015,Healthcare,-1,0,0
Q1 2015,Other,39,31,0
Q1 2015,Technology,4,1,0
Q4 2014,Energy,2,0,0
Q4 2014,Financials,3,1,0
Q4 2014,Healthcare,-3,0,0
Q4 2014,Other,58,36,0
Q4 2014,Technology,5,1,0
Q3 2014,Energy,-2,0,0
Q3 2014,Financials,1,1,0
Q3 2014,Healthcare,-4,0,0
Q3 2014,Other,35,30,0
Q3 2014,Technology,6,1,0
Q2 2014,Energy,-2,0,0
Q2 2014,Financials,4,1,0
Q2 2014,Healthcare,0,0,0
Q2 2014,Other,28,30,0
Q2 2014,Technology,6,2,0
Q1 2014,Energy,1,1,0
Q1 2014,Financials,0,1,0
Q1 2014,Healthcare,1,0,0
Q1 2014,Other,28,31,0
Q1 2014,Technology,8,1,0
Q4 2013,Energy,1,0,0
Q4 2013,Financials,0,3,0
Q4 2013,Healthcare,1,1,0
Q4 2013,Other,19,38,0
Q4 2013,Technology,4,2,0
Q3 2013,Energy,1,1,0
Q3 2013,Financials,-3,0,0
Q3 2013,Healthcare,-1,1,0
Q3 2013,Other,2,26,0
Q3 2013,Technology,5,2,0
Q2 2013,Energy,1,1,0
Q2 2013,Financials,-2,0,0
Q2 2013,Healthcare,-1,1,0
Q2 2013,Other,35,36,0
Q2 2013,Technology,4,3,0
Q1 2013,Financials,-3,1,0
Q1 2013,Healthcare,-1,0,0
Q1 2013,Other,17,34,0
Q1 2013,Technology,5,1,0
Q4 2012,Energy,-1,0,0
Q4 2012,Financials,-4,0,0
Q4 2012,Healthcare,-2,0,0
Q4 2012,Other,39,33,0
Q4 2012,Technology,2,1,0
Q3 2012,Energy,-2,0,0
Q3 2012,Financials,-3,1,0
Q3 2012,Healthcare,-4,0,0
Q3 2012,Other,14,26,0
Q3 2012,Technology,-1,0,0
Q2 2012,Energy,2,2,0
Q2 2012,Financials,-1,0,0
Q2 2012,Healthcare,-3,0,0
