ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,manager_count,max_portfolio_pct,conviction_score
FIVE,Five Below Inc.,157.27,Christopher Bloomstran,42346000,5.96,1,5.96,4.97
HLT,Hilton Worldwide Holdings,256.96,Bill Ackman,807164000,5.88,1,5.88,4.9
ADP,Automatic Data Processing Inc.,260.3,Terry Smith,1345271000,5.84,1,5.84,4.87
B,Barrick Mining Corp.,32.8,Sarah Ketterer,366675000,5.81,1,5.81,4.85
LLYVK,Liberty Media Corp. Series C Live,90.41,ValueAct Capital,323982000,5.79,1,5.79,4.83
PENN,Penn National Gaming Inc.,16.46,David Einhorn,133925000,5.76,1,5.76,4.81
EBAY,eBay Inc.,81.31,Lindsell Train,244575000,5.76,1,5.76,4.81
AU,AngloGold Ashanti Ltd.,68.0,Howard Marks,225468000,5.71,1,5.71,4.77
KMX,CarMax Inc.,41.91,Tom Bancroft,18295000,5.57,1,5.57,4.66
NEM,Newmont Corp.,80.97,Christopher Bloomstran,39509000,5.56,1,5.56,4.65
AN,AutoNation Inc.,199.87,Glenn Greenberg,241262000,5.53,1,5.53,4.62
ERFSF,Eurofins Scientific SE,70.01,Ruane Cunniff,208322000,5.52,1,5.52,4.62
BIO,Bio-Rad Laboratories Inc.,319.55,Mason Hawkins,53010000,5.48,1,5.48,4.58
WAT,Waters Corp.,349.6,Terry Smith,1259478000,5.47,1,5.47,4.58
PSX,Phillips 66,136.14,Bill Nygren,380209000,5.47,1,5.47,4.58
BOKF,BOK Financial Corp.,104.58,Charles Bobrinskoy,3494000,5.46,1,5.46,4.57
TSCO,Tractor Supply,54.11,David Rolfe,28130000,5.46,1,5.46,4.57
ACI,Albertsons Co Inc.,17.69,Mason Hawkins,52752000,5.45,1,5.45,4.56
IDT,IDT Corp. CL B,50.66,Kahn Brothers Group,27093000,5.44,1,5.44,4.55
CRS,Carpenter Technology,315.9,John Armitage,527628000,5.41,1,5.41,4.53
MIR,Mirion Technologies Inc,29.37,Leon Cooperman,153401000,5.39,1,5.39,4.51
IDCC,InterDigital Inc.,361.96,FPA Queens Road Small Cap Value Fund,51073000,5.32,1,5.32,4.46
REZI,Resideo Technologies Inc.,42.8,Charles Bobrinskoy,3400000,5.32,1,5.32,4.46
FN,Fabrinet,440.57,FPA Queens Road Small Cap Value Fund,51061000,5.32,1,5.32,4.46
ICE,Intercontinental Exchange Inc.,146.29,"Bill Nygren
AKO Capital",752687000,5.06,2,5.07,4.45
JPM,JPMorgan Chase & Co.,311.12,Mairs & Power Growth Fund,300605000,5.31,1,5.31,4.45
DINO,HF Sinclair Corp.,51.6,Mason Hawkins,51001000,5.27,1,5.27,4.42
CCC,CCC Intelligent Solutions Hldgs Inc.,8.82,Triple Frond Partners,29932000,5.24,1,5.24,4.39
ADI,Analog Devices,234.13,Steven Romick,328142000,5.23,1,5.23,4.38
SHOP,Shopify Inc.,173.86,Polen Capital Management,1694510000,5.2,1,5.2,4.36
SNA,Snap-On Inc.,335.55,Charles Bobrinskoy,3324000,5.2,1,5.2,4.36
PRI,Primerica Inc.,259.87,Glenn Greenberg,225502000,5.17,1,5.17,4.34
MRP,Millrose Properties,32.21,Glenn Greenberg,224137000,5.14,1,5.14,4.31
EMN,Eastman Chemical,59.52,Alex Roepers,10057000,5.13,1,5.13,4.3
BMY,Bristol-Myers Squibb,46.07,Kahn Brothers Group,25491000,5.12,1,5.12,4.3
GSK,GSK plc,46.86,Kahn Brothers Group,25339000,5.09,1,5.09,4.27
LPLA,LPL Financial Holdings Inc.,377.31,Stephen Mandel,702037000,5.08,1,5.08,4.26
AMG,Affiliated Managers Group,237.96,Charles Bobrinskoy,3228000,5.05,1,5.05,4.24
MPLX,MPLX LP,50.76,Glenn Greenberg,220207000,5.05,1,5.05,4.24
YNDX,Yandex N.V.,20.0,Greg Alexander,38731000,5.04,1,5.04,4.23
MAR,Marriott Int'l.,260.58,Terry Smith,1157481000,5.03,1,5.03,4.22
