ticker,company_name,current_price,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,first_reported_date,latest_period,buy_count,last_buy_period,historical_buyers,active_managers,appeal_score,investment_timing,reported_price,_analysis_type,_generated,_periods,_window_quarters
B,Barrick Mining Corp.,40.79,"Charles Bobrinskoy, Howard Marks, Sarah Ketterer, Harry Burn, First Eagle Investment Management",5,5,1847266000,3.27,42437359,5.77,,Q4 2025,24.0,Q4 2024,5.0,5,5.81,Strong,43.55,interesting_stocks_overview,2026-04-01,Q4 2025,1
CVX,Chevron Corp.,206.9,"Charles Bobrinskoy, Christopher Bloomstran, Warren Buffett, Thomas Russo, Kahn Brothers Group, +1 more",5,6,19863690000,2.44,130330617,7.24,"Apr 26, 2025",Q4 2025,43.0,Q4 2025,9.0,6,5.77,Strong,152.41,interesting_stocks_overview,2026-04-01,Q4 2025,1
APTV,Aptiv PLC,69.44,"Alex Roepers, Sarah Ketterer, Robert Olstein",3,3,78380000,4.62,1030091,11.82,"Dec 31, 2014",Q4 2025,26.0,Q4 2024,8.0,3,5.75,Strong,76.09,interesting_stocks_overview,2026-04-01,Q4 2025,1
FIS,Fidelity National Information Services,46.91,"Mason Hawkins, Seth Klarman, Harry Burn, Robert Olstein, Dodge & Cox",5,5,2647919000,3.13,39842305,5.67,"Dec 31, 2014",Q4 2025,42.0,Q4 2025,10.0,5,5.75,Strong,66.46,interesting_stocks_overview,2026-04-01,Q4 2025,1
QSR,Restaurant Brands International,73.9,"Bill Ackman, Seth Klarman, Christopher Davis",3,3,2385865000,7.24,34967676,10.44,,Q4 2025,19.0,Q4 2025,6.0,3,5.75,Strong,68.23,interesting_stocks_overview,2026-04-01,Q4 2025,1
KO,Coca Cola Co.,76.05,"Christopher Bloomstran, Warren Buffett, Lee Ainslie, Thomas Russo, Lindsell Train, +1 more",5,7,28231655000,1.96,403828551,10.2,"Apr 26, 2025",Q4 2025,19.0,Q4 2025,8.0,7,5.73,Strong,69.94,interesting_stocks_overview,2026-04-01,Q4 2025,1
SLB,Schlumberger Ltd.,51.39,"Charles Bobrinskoy, John Rogers, First Eagle Investment Management, Robert Olstein, Torray Funds, +1 more",5,6,1278010000,2.28,33298862,4.51,"Dec 31, 2014",Q4 2025,24.0,Q4 2025,10.0,6,5.71,Strong,38.38,interesting_stocks_overview,2026-04-01,Q4 2025,1
USB,U.S. Bancorp,52.01,"Glenn Greenberg, First Eagle Investment Management, Robert Olstein, Christopher Davis, David Katz, +1 more",5,6,1694577000,2.28,31761857,5.29,"Dec 31, 2014",Q4 2025,65.0,Q4 2025,14.0,6,5.71,Strong,53.33,interesting_stocks_overview,2026-04-01,Q4 2025,1
DASH,DoorDash Inc.,150.15,"Stephen Mandel, Henry Ellenbogen, Chase Coleman, Lee Ainslie, Thomas Russo",5,5,1681286000,3.01,7423553,7.67,,Q4 2025,28.0,Q4 2025,7.0,5,5.7,Strong,226.48,interesting_stocks_overview,2026-04-01,Q4 2025,1
EPD,Enterprise Products Partners LP,37.84,"Bruce Berkowitz, Leon Cooperman, First Eagle Investment Management, Tweedy Browne Co.",4,4,283648000,3.64,8847385,12.19,"Jun 29, 2017",Q4 2025,37.0,Q4 2025,7.0,4,5.66,Strong,32.06,interesting_stocks_overview,2026-04-01,Q4 2025,1
SHW,Sherwin-Williams,320.55,"Viking Global Investors, Chase Coleman, Lee Ainslie, Jensen Investment Management, Thomas Gayner, +1 more",5,7,1536478000,1.39,4741776,3.15,,Q4 2025,28.0,Q4 2025,9.0,7,5.66,Strong,324.03,interesting_stocks_overview,2026-04-01,Q4 2025,1
DE,Deere & Co.,563.3,"Bill Nygren, Bill & Melinda Gates Foundation Trust, Thomas Gayner, First Eagle Investment Management, Robert Olstein, +1 more",5,6,2558629000,2.13,5495692,4.68,"Dec 31, 2014",Q4 2025,30.0,Q4 2025,9.0,6,5.65,Strong,465.57,interesting_stocks_overview,2026-04-01,Q4 2025,1
IFF,International Flavors & Fragrances Inc.,72.55,"Carl Icahn, First Eagle Investment Management, Robert Olstein, Dodge & Cox, Steven Romick, +1 more",5,6,2287697000,2.14,33946035,3.41,"Dec 31, 2014",Q4 2025,43.0,Q4 2025,13.0,6,5.65,Strong,67.39,interesting_stocks_overview,2026-04-01,Q4 2025,1
FWONK,Liberty Media Corp Formula One Series C,85.02,"Ruane Cunniff, Warren Buffett, Chase Coleman, Dennis Hong, William Von Mueffling",5,5,1036199000,3.24,10518719,7.41,"May 18, 2018",Q4 2025,19.0,Q4 2025,7.0,5,5.65,Strong,98.51,interesting_stocks_overview,2026-04-01,Q4 2025,1
REGN,Regeneron Pharmaceuticals,772.64,"Mason Hawkins, Harry Burn, Dodge & Cox",3,3,2513900000,4.32,3256896,6.67,,Q4 2025,25.0,Q4 2025,8.0,3,5.63,Strong,771.87,interesting_stocks_overview,2026-04-01,Q4 2025,1
PFE,Pfizer Inc.,28.08,"Prem Watsa, Sarah Ketterer, Kahn Brothers Group, Torray Funds, Richard Pzena, +1 more",5,6,123891000,2.05,4972419,3.07,"May 25, 2018",Q4 2025,63.0,Q4 2025,12.0,6,5.62,Strong,24.9,interesting_stocks_overview,2026-04-01,Q4 2025,1
RTX,RTX Corp.,192.9,"David Tepper, Lee Ainslie, Jensen Investment Management, Thomas Gayner, Robert Olstein, +1 more",5,7,5012825000,1.29,27332738,3.93,"Dec 31, 2014",Q4 2025,36.0,Q4 2025,13.0,7,5.61,Strong,183.4,interesting_stocks_overview,2026-04-01,Q4 2025,1
CPNG,Coupang Inc.,18.88,"Bill & Melinda Gates Foundation Trust, Henry Ellenbogen, Chase Coleman, Lee Ainslie, David Abrams",5,5,1754034000,2.79,74354973,5.46,,Q4 2025,26.0,Q4 2025,7.0,5,5.61,Strong,23.59,interesting_stocks_overview,2026-04-01,Q4 2025,1
