ticker,company_name,current_price,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,first_reported_date,latest_period,buy_count,last_buy_period,historical_buyers,active_managers,appeal_score,investment_timing,reported_price,_analysis_type,_generated,_periods,_window_quarters
FICO,Fair Isaac Corp.,1067.54,"Valley Forge Capital Management, AKO Capital, Chuck Akre, Lindsell Train, Jensen Investment Management, +1 more",5,6,2333463000,7.82,1380241,29.49,"July 19, 2011",Q4 2025,29.0,Q4 2025,8.0,6,6.8,Strong,1690.62,interesting_stocks_overview,2026-04-01,Q4 2025,1
PEP,PepsiCo Inc.,155.29,"Lee Ainslie, Thomas Russo, Kahn Brothers Group, Lindsell Train, Jensen Investment Management, +1 more",5,10,630445000,1.75,4392726,6.56,"Dec 31, 2014",Q4 2025,48.0,Q4 2025,14.0,10,6.7,Strong,143.61,interesting_stocks_overview,2026-04-01,Q4 2025,1
WFC,Wells Fargo,79.61,"Francis Chou, Thomas Russo, Harry Burn, Thomas Gayner, Yacktman Asset Management, +1 more",5,14,3231434000,1.72,34672040,4.27,"Dec 31, 2014",Q4 2025,94.0,Q4 2025,25.0,14,6.69,Strong,93.19,interesting_stocks_overview,2026-04-01,Q4 2025,1
CSGP,CoStar Group Inc.,40.34,"Viking Global Investors, Daniel Loeb, Chase Coleman, Chuck Akre, Dennis Hong, +1 more",5,7,1550073000,3.88,23052839,12.12,"July 19, 2011",Q4 2025,36.0,Q4 2025,8.0,7,6.65,Strong,67.24,interesting_stocks_overview,2026-04-01,Q4 2025,1
EFX,Equifax Inc.,180.07,"Bill Nygren, Valley Forge Capital Management, AKO Capital, Lee Ainslie, Wallace Weitz, +1 more",5,10,1100387000,1.54,5071370,3.54,"Dec 31, 2014",Q4 2025,68.0,Q4 2025,15.0,10,6.62,Strong,216.98,interesting_stocks_overview,2026-04-01,Q4 2025,1
PYPL,PayPal Holdings Inc.,45.23,"Mason Hawkins, Norbert Lou, David Rolfe, Francis Chou, Polen Capital Management, +1 more",5,7,345965000,3.75,5926079,12.2,,Q4 2025,77.0,Q4 2025,18.0,7,6.6,Strong,58.38,interesting_stocks_overview,2026-04-01,Q4 2025,1
UNH,United Health Group Inc.,270.59,"Ruane Cunniff, Viking Global Investors, Warren Buffett, David Tepper, Chase Coleman, +1 more",5,17,5241529000,1.44,15878112,4.69,"May 18, 2018",Q4 2025,112.0,Q4 2025,30.0,17,6.58,Strong,330.11,interesting_stocks_overview,2026-04-01,Q4 2025,1
BKNG,Booking Holdings Inc.,4210.32,"Stephen Mandel, Henry Ellenbogen, David Rolfe, AKO Capital, Pat Dorsey, +1 more",5,8,2484039000,2.94,463844,7.6,,Q4 2025,73.0,Q4 2025,20.0,8,6.58,Strong,5355.29,interesting_stocks_overview,2026-04-01,Q4 2025,1
DHR,Danaher Corp.,189.6,"Daniel Loeb, Bill & Melinda Gates Foundation Trust, Pat Dorsey, Chuck Akre, Wallace Weitz, +1 more",5,7,546560000,3.69,2387560,16.47,"July 19, 2011",Q4 2025,39.0,Q4 2025,12.0,7,6.58,Strong,228.92,interesting_stocks_overview,2026-04-01,Q4 2025,1
JNJ,Johnson & Johnson,244.44,"Charles Bobrinskoy, Prem Watsa, Thomas Russo, Jensen Investment Management, Thomas Gayner, +1 more",5,11,479948000,1.43,2319142,5.48,"May 25, 2018",Q4 2025,55.0,Q4 2025,17.0,11,6.57,Strong,206.97,interesting_stocks_overview,2026-04-01,Q4 2025,1
JPM,JPMorgan Chase & Co.,294.16,"Viking Global Investors, Glenn Greenberg, Samantha McLemore, Francois Rochon, Thomas Russo, +1 more",5,12,1419784000,1.43,4406257,5.12,,Q4 2025,88.0,Q4 2025,20.0,12,6.57,Strong,322.22,interesting_stocks_overview,2026-04-01,Q4 2025,1
AON,Aon Plc,322.78,"Viking Global Investors, Warren Buffett, Wallace Weitz, Polen Capital Management, Jensen Investment Management, +1 more",5,11,4239799000,1.36,12014854,4.58,,Q4 2025,64.0,Q4 2025,14.0,11,6.54,Strong,352.88,interesting_stocks_overview,2026-04-01,Q4 2025,1
DG,Dollar General,118.73,"Christopher Bloomstran, Seth Klarman, Thomas Gayner, First Eagle Investment Management, Richard Pzena",5,5,1120272000,5.05,8437685,14.14,"Apr 26, 2025",Q4 2025,52.0,Q4 2025,13.0,5,6.5,Strong,132.77,interesting_stocks_overview,2026-04-01,Q4 2025,1
GE,GE Aerospace,283.77,"Nelson Peltz, Christopher Bloomstran, AKO Capital, Chris Hohn, Dodge & Cox",5,5,17298546000,12.98,56158637,31.16,"Apr 26, 2025",Q4 2025,89.0,Q4 2025,15.0,5,6.5,Strong,308.03,interesting_stocks_overview,2026-04-01,Q4 2025,1
ADI,Analog Devices,318.14,"AKO Capital, Francois Rochon, Sarah Ketterer, Wallace Weitz, William Von Mueffling, +1 more",5,8,2250723000,2.63,8299128,5.15,,Q4 2025,53.0,Q4 2025,8.0,8,6.45,Strong,271.2,interesting_stocks_overview,2026-04-01,Q4 2025,1
AMAT,Applied Materials,341.79,"Glenn Greenberg, Chase Coleman, Lee Ainslie, William Von Mueffling, Harry Burn, +1 more",5,9,2464559000,1.88,9590083,4.85,,Q4 2025,33.0,Q4 2025,13.0,9,6.45,Strong,257.02,interesting_stocks_overview,2026-04-01,Q4 2025,1
CP,Canadian Pacific Kansas City,78.66,"AKO Capital, Chris Hohn, Sarah Ketterer, Lindsell Train, William Von Mueffling, +1 more",5,6,4970689000,4.08,67496944,12.82,,Q4 2025,59.0,Q4 2025,14.0,6,6.43,Strong,73.63,interesting_stocks_overview,2026-04-01,Q4 2025,1
CMCSA,Comcast Corp.,28.71,"Glenn Greenberg, Thomas Russo, Kahn Brothers Group, Wallace Weitz, Thomas Gayner, +1 more",5,11,3610947000,1.01,120816751,2.34,,Q4 2025,85.0,Q4 2025,24.0,11,6.4,Strong,29.88,interesting_stocks_overview,2026-04-01,Q4 2025,1
TXN,Texas Instruments,194.14,"Terry Smith, Wallace Weitz, Jensen Investment Management, Thomas Gayner, First Eagle Investment Management, +1 more",5,9,1791433000,1.72,10325846,3.73,"Dec 31, 2014",Q4 2025,44.0,Q4 2025,11.0,9,6.39,Strong,173.49,interesting_stocks_overview,2026-04-01,Q4 2025,1
PM,Philip Morris Intl.,165.34,"Stephen Mandel, Terry Smith, Lee Ainslie, Thomas Russo, Thomas Gayner, +1 more",5,7,3460089000,3.22,21571631,8.13,,Q4 2025,27.0,Q4 2025,8.0,7,6.39,Strong,160.4,interesting_stocks_overview,2026-04-01,Q4 2025,1
FLUT,Flutter Entertainment Plc,101.95,"Chase Coleman, AKO Capital, Lee Ainslie, Tom Bancroft, William Von Mueffling",5,5,2066790000,4.62,9605437,10.2,,Q4 2025,31.0,Q4 2025,11.0,5,6.35,Strong,215.04,interesting_stocks_overview,2026-04-01,Q4 2025,1
LULU,Lululemon Athletica Inc.,153.1,"Prem Watsa, Lee Ainslie, Francois Rochon, Jensen Investment Management, Michael Burry",5,5,53659000,6.7,272590,32.35,"May 25, 2018",Q4 2025,19.0,Q4 2025,6.0,5,6.35,Strong,207.76,interesting_stocks_overview,2026-04-01,Q4 2025,1
ORCL,Oracle Corp.,147.11,"Charles Bobrinskoy, Thomas Russo, Wallace Weitz, Polen Capital Management, Lindsell Train, +1 more",5,9,3241424000,1.45,16630352,5.98,,Q4 2025,62.0,Q4 2025,18.0,9,6.28,Strong,194.95,interesting_stocks_overview,2026-04-01,Q4 2025,1
WTW,Willis Towers Watson plc,290.7,"Seth Klarman, David Abrams, Polen Capital Management, Harry Burn, First Eagle Investment Management, +1 more",5,7,3277596000,2.78,9974422,8.45,"Dec 31, 2014",Q4 2025,40.0,Q4 2025,14.0,7,6.21,Strong,328.6,interesting_stocks_overview,2026-04-01,Q4 2025,1
MKL,Markel Group Inc.,1914.07,"Josh Tarasoff, Francois Rochon, Thomas Russo, Christopher Davis",4,4,1049769000,5.42,488322,14.37,,Q4 2025,58.0,Q4 2025,6.0,4,6.2,Strong,2149.66,interesting_stocks_overview,2026-04-01,Q4 2025,1
TDG,TransDigm Group Inc.,1158.96,"Stephen Mandel, Bryan Lawrence, AltaRock Partners, Triple Frond Partners",4,4,1485032000,13.4,1116692,25.28,,Q4 2025,34.0,Q4 2025,8.0,4,6.2,Strong,1329.83,interesting_stocks_overview,2026-04-01,Q4 2025,1
